school_year,religious_groups,rec_im,social_clubs,diversity,res_life,friend_group,in_person_time,volunteer,personal_growth,cultural_events,home_or_college,on_campus_job,campus_jobs_total,social_engagement_total,academic_clubs,study_groups,honors,attend_class,academic_engagement_total
3,3,1,5,5,3,2,2,1,2,2,2,2,2,2.461538462,2,3,4,4,3.25
3,1,1,5,2,3,2,4,2,2,1,3,2,2,2.307692308,2,2,3,4,2.75
1,5,1,5,2,2,2,3,1,2,2,3,2,2,2.461538462,3,4,4,4,3.75
3,5,2,3,3,2,2,4,2,2,2,3,2,2,2.615384615,1,1,4,4,2.5
4,2,1,2,3,3,2,4,1,2,2,3,1,1,2.076923077,1,1,3,3,2
2,1,3,1,2,1,2,3,2,2,2,3,2,2,2,4,1,3,4,3
2,2,2,5,3,5,2,4,2,2,2,3,2,3,2.846153846,2,3,3,4,3
2,5,4,4,4,3,2,4,2,2,2,3,2,1,2.923076923,4,4,3,4,3.75
4,5,1,5,5,3,2,4,2,2,2,3,2,2,2.923076923,2,2,5,4,3.25
2,4,1,1,3,1,2,3,1,2,2,2,1,1,1.846153846,1,2,5,4,3
1,3,1,5,5,2,1,1,1,2,2,1,2,2,2.153846154,3,3,3,5,3.5
1,4,1,4,1,3,2,4,2,2,2,3,1,1,2.307692308,1,3,4,4,3
4,1,1,1,5,3,2,4,2,2,2,3,2,3,2.384615385,2,1,5,4,3
4,2,1,2,2,2,1,2,2,2,1,2,2,2,1.769230769,2,3,2,4,2.75
2,3,1,1,1,2,2,4,1,1,2,3,2,2,1.923076923,1,3,1,4,2.25
3,5,2,2,3,5,2,3,2,2,2,3,2,3,2.769230769,1,3,3,4,2.75
4,1,1,3,3,3,2,3,2,2,2,3,2,2,2.230769231,2,2,4,4,3
2,3,1,4,4,4,2,3,2,2,2,3,2,3,2.692307692,3,3,4,4,3.5
1,3,1,1,4,3,2,4,2,2,2,3,2,3,2.461538462,1,2,1,4,2
4,3,1,5,3,5,2,3,1,2,2,3,2,2,2.615384615,1,2,4,4,2.75
2,4,3,3,3,5,2,4,2,2,2,3,2,2,2.846153846,1,1,3,4,2.25
4,3,3,2,3,2,2,4,2,2,2,3,2,3,2.538461538,2,3,1,4,2.5
2,3,1,5,3,2,2,4,2,2,2,3,2,3,2.615384615,1,2,1,4,2
2,2,1,1,3,4,2,3,1,2,2,3,1,1,2,1,4,2,4,2.75
1,3,1,3,1,2,2,4,2,2,1,3,2,2,2.153846154,1,3,1,4,2.25
3,5,1,4,2,2,2,4,1,2,2,3,2,4,2.615384615,1,1,3,4,2.25
1,5,2,4,4,2,2,4,2,2,2,3,2,2,2.769230769,1,3,4,4,3
2,2,4,5,3,4,2,4,2,2,1,3,2,3,2.846153846,5,3,1,5,3.5
4,2,1,1,1,1,2,3,1,1,1,3,1,1,1.461538462,2,1,1,4,2
3,2,1,5,2,3,2,3,1,2,2,3,2,2,2.307692308,3,1,1,4,2.25
1,3,1,4,3,2,2,4,1,1,2,3,1,1,2.153846154,2,4,4,5,3.75
