year,high.school,social.total,academic.total,religious.groups ,Rec.IM,social.clubs,diversity ,Res.Life ,friend.group ,friend.time,volunteer ,personal.growth,cultural.events,home.or.college  ,campus.job,jobs.total,academic.clubs ,study.groups,honors,attend.class
3,1,2.461538462,3.25,3,1,5,5,3,2,2,1,2,2,2,2,2,2,3,4,4
3,3,2.307692308,2.75,1,1,5,2,3,2,4,2,2,1,3,2,2,2,2,3,4
1,1,2.461538462,3.75,5,1,5,2,2,2,3,1,2,2,3,2,2,3,4,4,4
3,1,2.615384615,2.5,5,2,3,3,2,2,4,2,2,2,3,2,2,1,1,4,4
4,1,2.076923077,2,2,1,2,3,3,2,4,1,2,2,3,1,1,1,1,3,3
2,1,2,3,1,3,1,2,1,2,3,2,2,2,3,2,2,4,1,3,4
2,3,2.846153846,3,2,2,5,3,5,2,4,2,2,2,3,2,3,2,3,3,4
2,3,2.923076923,3.75,5,4,4,4,3,2,4,2,2,2,3,2,1,4,4,3,4
4,3,2.923076923,3.25,5,1,5,5,3,2,4,2,2,2,3,2,2,2,2,5,4
2,3,1.846153846,3,4,1,1,3,1,2,3,1,2,2,2,1,1,1,2,5,4
1,3,2.153846154,3.5,3,1,5,5,2,1,1,1,2,2,1,2,2,3,3,3,5
1,1,2.307692308,3,4,1,4,1,3,2,4,2,2,2,3,1,1,1,3,4,4
4,3,2.384615385,3,1,1,1,5,3,2,4,2,2,2,3,2,3,2,1,5,4
4,1,1.769230769,2.75,2,1,2,2,2,1,2,2,2,1,2,2,2,2,3,2,4
2,1,1.923076923,2.25,3,1,1,1,2,2,4,1,1,2,3,2,2,1,3,1,4
3,1,2.769230769,2.75,5,2,2,3,5,2,3,2,2,2,3,2,3,1,3,3,4
4,3,2.230769231,3,1,1,3,3,3,2,3,2,2,2,3,2,2,2,2,4,4
2,1,2.692307692,3.5,3,1,4,4,4,2,3,2,2,2,3,2,3,3,3,4,4
1,1,2.461538462,2,3,1,1,4,3,2,4,2,2,2,3,2,3,1,2,1,4
4,1,2.615384615,2.75,3,1,5,3,5,2,3,1,2,2,3,2,2,1,2,4,4
2,3,2.846153846,2.25,4,3,3,3,5,2,4,2,2,2,3,2,2,1,1,3,4
4,1,2.538461538,2.5,3,3,2,3,2,2,4,2,2,2,3,2,3,2,3,1,4
2,1,2.615384615,2,3,1,5,3,2,2,4,2,2,2,3,2,3,1,2,1,4
2,1,2,2.75,2,1,1,3,4,2,3,1,2,2,3,1,1,1,4,2,4
1,1,2.153846154,2.25,3,1,3,1,2,2,4,2,2,1,3,2,2,1,3,1,4
3,1,2.615384615,2.25,5,1,4,2,2,2,4,1,2,2,3,2,4,1,1,3,4
1,1,2.769230769,3,5,2,4,4,2,2,4,2,2,2,3,2,2,1,3,4,4
2,1,2.846153846,3.5,2,4,5,3,4,2,4,2,2,1,3,2,3,5,3,1,5
4,3,1.461538462,2,2,1,1,1,1,2,3,1,1,1,3,1,1,2,1,1,4
3,1,2.307692308,2.25,2,1,5,2,3,2,3,1,2,2,3,2,2,3,1,1,4
1,1,2.153846154,3.75,3,1,4,3,2,2,4,1,1,2,3,1,1,2,4,4,5
